187,1231740133,1231744600,4467
188,1231740736,1231744937,4201
189,1231742062,1231745189,3127
190,1231742949,1231745501,2552
191,1231743578,1231745534,1956
192,1231743669,1231747164,3495
193,1231744600,1231747455,2855
194,1231744937,1231747844,2907
195,1231745189,1231749225,4036
196,1231745501,1231750046,4545
197,1231745534,1231751312,5778
198,1231747164,1231752161,4997
199,1231747455,1231752757,5302
200,1231747844,1231753120,5276
201,1231749225,1231753837,4612
202,1231750046,1231754944,4898
203,1231751312,1231756296,4984
204,1231752161,1231756638,4477
205,1231752757,1231757171,4414
206,1231753120,1231757577,4457
207,1231753837,1231757909,4072
208,1231754944,1231758547,3603
209,1231756296,1231759316,3020
210,1231756638,1231759513,2875
211,1231757171,1231760107,2936
212,1231757577,1231760777,3200
213,1231757909,1231762221,4312
214,1231758547,1231762662,4115
215,1231759316,1231763114,3798
216,1231759513,1231764594,5081
217,1231760107,1231766029,5922
218,1231760777,1231766966,6189
219,1231762221,1231767990,5769
220,1231762662,1231768665,6003
221,1231763114,1231770060,6946
222,1231764594,1231770653,6059
223,1231766029,1231771213,5184
224,1231766966,1231771689,4723
225,1231767990,1231773076,5086
226,1231768665,1231773794,5129
227,1231770060,1231774735,4675
228,1231770653,1231775125,4472
229,1231771213,1231775577,4364
230,1231771689,1231776531,4842
231,1231773076,1231777403,4327
232,1231773794,1231778080,4286
233,1231774735,1231779468,4733
234,1231775125,1231780094,4969
235,1231775577,1231780771,5194
236,1231776531,1231781159,4628
237,1231777403,1231781185,3782
238,1231778080,1231782035,3955
239,1231779468,1231783052,3584
240,1231780094,1231783494,3400
241,1231780771,1231784201,3430
242,1231781159,1231785773,4614
243,1231781185,1231786898,5713
244,1231782035,1231787524,5489
245,1231783052,1231788397,5345
246,1231783494,1231788910,5416
247,1231784201,1231789563,5362
248,1231785773,1231790660,4887
249,1231786898,1231791095,4197
250,1231787524,1231792456,4932
251,1231788397,1231793759,5362
252,1231788910,1231795114,6204
253,1231789563,1231795882,6319
254,1231790660,1231796561,5901
255,1231791095,1231797290,6195
256,1231792456,1231798073,5617
257,1231793759,1231799163,5404
258,1231795114,1231800349,5235
259,1231795882,1231801541,5659
260,1231796561,1231802728,6167
261,1231797290,1231803223,5933
262,1231798073,1231803947,5874
263,1231799163,1231805421,6258
264,1231800349,1231805980,5631
265,1231801541,1231806051,4510
266,1231802728,1231806170,3442
267,1231803223,1231806964,3741
268,1231803947,1231807132,3185
269,1231805421,1231807293,1872
270,1231805980,1231808778,2798
271,1231806051,1231809900,3849
272,1231806170,1231810641,4471
273,1231806964,1231811219,4255
274,1231807132,1231811622,4490
275,1231807293,1231812926,5633
276,1231808778,1231813196,4418
277,1231809900,1231815025,5125
278,1231810641,1231815925,5284
279,1231811219,1231816169,4950
280,1231811622,1231817139,5517
281,1231812926,1231817659,4733
282,1231813196,1231818395,5199
283,1231815025,1231819157,4132
284,1231815925,1231820141,4216
285,1231816169,1231821417,5248
286,1231817139,1231822498,5359
287,1231817659,1231822967,5308
288,1231818395,1231823695,5300
289,1231819157,1231824272,5115
290,1231820141,1231825046,4905
291,1231821417,1231825707,4290
292,1231822498,1231826633,4135
293,1231822967,1231827489,4522
294,1231823695,1231828541,4846
295,1231824272,1231829183,4911
296,1231825046,1231829684,4638
297,1231825707,1231829772,4065
298,1231826633,1231830791,4158
299,1231827489,1231831694,4205
300,1231828541,1231832435,3894
301,1231829183,1231833175,3992
302,1231829684,1231833861,4177
303,1231829772,1231835108,5336
304,1231830791,1231835642,4851
305,1231831694,1231836755,5061
306,1231832435,1231837946,5511
307,1231833175,1231838493,5318
308,1231833861,1231839461,5600
309,1231835108,1231839504,4396
310,1231835642,1231840002,4360
311,1231836755,1231840140,3385
312,1231837946,1231841124,3178
313,1231838493,1231841699,3206
314,1231839461,1231842444,2983
315,1231839504,1231843597,4093
316,1231840002,1231844245,4243
317,1231840140,1231844715,4575
318,1231841124,1231845101,3977
319,1231841699,1231846048,4349
320,1231842444,1231846218,3774
321,1231843597,1231846990,3393
322,1231844245,1231847669,3424
323,1231844715,1231848372,3657
324,1231845101,1231849416,4315
325,1231846048,1231849987,3939
326,1231846218,1231850712,4494
327,1231846990,1231851531,4541
328,1231847669,1231851944,4275
329,1231848372,1231852306,3934
330,1231849416,1231853108,3692
331,1231849987,1231854172,4185
332,1231850712,1231854604,3892
